space,ari,nmi,ami,silhouette,davies_bouldin,calinski_harabasz,n_clusters,n_noise,time_model_fit,time_attribution,time_reduction,time_clustering
embedding_2d,0.4143655635660976,0.5824002570685023,0.580302746763854,0.7784931659698486,0.2558681912175853,33408.87109375,4,0,0.22761170000012498,0.30077540000002045,12.354370400000334,0.013748100000157137
full_attribution,0.2560595801472979,0.42087499329523675,0.41867573531418784,0.6895411069330251,0.42977162009269415,3591.0687932954083,2,83,0.22761170000012498,0.30077540000002045,12.354370400000334,0.06089750000046479
