space,ari,nmi,ami,silhouette,davies_bouldin,calinski_harabasz,n_clusters,n_noise,time_model_fit,time_attribution,time_reduction,time_clustering
embedding_2d,0.24389068666010244,0.36958688283876284,0.368310057563626,0.6994371,0.4787694569930399,3869.0525,2,0,0.7286643000006734,0.011633600000095612,11.962592900000345,0.012820400000236987
full_attribution,0.262436344572872,0.36963070755086447,0.36739934170127736,0.74933374,0.36356724036623955,3782.9993,2,213,0.7286643000006734,0.011633600000095612,11.962592900000345,0.043047399999522895
